run,total,IU,T,seed,nodes,sim_time_s,distance_m,wall_s
417,1200,0.1,5.0,34,180,1080,5206.7,766.6
418,1200,0.1,5.0,33,193,1080,5448.3,814.1
419,1200,0.1,5.0,14,199,1080,5723.3,1188.2
420,1200,0.1,5.0,8,201,1080,5689.0,1338.3
421,1200,0.1,5.0,13,195,1080,5479.6,1279.6
422,1200,0.1,5.0,15,185,1080,5410.8,1234.9
423,1200,0.1,5.0,17,191,1080,5390.5,1215.5
424,1200,0.1,5.0,38,185,1080,5393.9,887.1
425,1200,0.1,5.0,21,188,1080,5250.0,1188.7
426,1200,0.1,5.0,22,185,1080,5231.4,1202.4
427,1200,0.1,5.0,31,172,1080,5258.5,1034.7
428,1200,0.1,5.0,20,196,1080,5500.6,1255.7
429,1200,0.1,5.0,23,187,1080,5425.0,1222.0
430,1200,0.1,5.0,25,193,1080,5596.3,1242.2
431,1200,0.1,5.0,28,189,1080,5735.4,1192.3
432,1200,0.1,5.0,29,205,1080,5691.0,1197.0
433,1200,0.1,5.0,27,181,1080,5283.4,1203.5
434,1200,0.1,5.0,30,183,1080,5601.9,1202.8
435,1200,0.1,5.0,26,191,1080,5666.7,1332.7
436,1200,0.1,5.0,43,194,1080,5623.8,842.1
437,1200,0.1,5.0,46,184,1080,5290.9,826.8
438,1200,0.1,5.0,32,182,1080,5602.1,1225.1
439,1200,0.1,5.0,37,197,1080,5510.4,1257.8
440,1200,0.1,5.0,35,189,1080,5516.4,1287.1
441,1200,0.1,5.0,36,202,1080,5884.7,1277.4
442,1200,0.1,5.0,54,183,1080,5301.3,769.8
443,1200,0.1,5.0,39,195,1080,5669.2,1264.2
444,1200,0.1,5.0,41,181,1080,5346.0,1138.5
445,1200,0.1,5.0,59,180,1080,5097.1,715.0
446,1200,0.1,5.0,51,199,1080,5764.7,864.5
447,1200,0.1,5.0,47,184,1080,5476.4,1051.0
448,1200,0.1,5.0,40,199,1080,5747.1,1333.5
449,1200,0.1,5.0,56,200,1080,5675.7,896.4
450,1200,0.1,5.0,49,191,1080,5485.5,1088.3
451,1200,0.1,5.0,45,191,1080,5657.1,1222.9
452,1200,0.1,5.0,44,182,1080,5133.7,1232.9
453,1200,0.1,5.0,63,186,1080,5473.9,806.1
454,1200,0.1,5.0,42,204,1080,5595.9,1271.6
455,1200,0.1,5.0,48,194,1080,5550.3,1208.3
456,1200,0.1,5.0,53,187,1080,5525.2,1175.0
457,1200,0.1,5.0,50,181,1080,5243.0,1267.3
458,1200,0.1,5.0,58,185,1080,5303.1,1165.2
459,1200,0.1,5.0,52,182,1080,5312.4,1241.4
460,1200,0.1,5.0,57,196,1080,5686.0,1215.0
461,1200,0.1,5.0,64,181,1080,5530.8,1009.9
462,1200,0.1,5.0,55,191,1080,5578.6,1285.4
463,1200,0.1,5.0,73,200,1080,5648.1,861.6
464,1200,0.1,5.0,62,187,1080,5299.6,1177.5
465,1200,0.1,5.0,60,192,1080,5342.4,1232.9
466,1200,0.1,5.0,61,209,1080,6014.7,1265.7
467,1200,0.1,5.0,82,198,1080,5580.8,871.1
468,1200,0.1,5.0,71,177,1080,5353.4,1117.5
469,1200,0.1,5.0,69,191,1080,5491.1,1173.8
470,1200,0.1,5.0,65,194,1080,5740.8,1305.0
471,1200,0.1,5.0,70,200,1080,5725.4,1206.2
472,1200,0.1,5.0,88,185,1080,5473.3,821.6
473,1200,0.1,5.0,66,188,1080,5448.6,1321.2
474,1200,0.1,5.0,77,192,1080,5511.9,1063.0
475,1200,0.1,5.0,78,191,1080,5648.2,1055.9
476,1200,0.1,5.0,72,193,1080,5619.0,1178.0
477,1200,0.1,5.0,92,182,1080,5338.6,769.6
478,1200,0.1,5.0,68,189,1080,5323.8,1299.0
479,1200,0.1,5.0,74,190,1080,5566.3,1182.5
