I_U,T_INT,seed,nodes_completed,sim_duration_s,fleet_distance_m,conv_time_min_s,conv_time_max_s,conv_time_mean_s,wall_time_s,error
0.080,4.000,4,20,132.000,2035.200,20.100,123.100,45.540,9.810,
0.080,4.000,5,20,142.000,1835.090,20.000,131.300,66.950,9.460,
0.080,4.000,6,20,175.000,1941.750,20.100,165.600,64.900,10.840,
0.080,4.000,7,20,150.000,1654.850,20.000,139.400,50.020,9.370,
0.080,4.000,8,20,191.000,1480.540,20.000,181.400,55.260,8.990,
0.080,4.000,9,20,127.000,1774.270,20.000,117.300,56.580,9.710,
0.080,4.500,0,20,141.000,1732.260,22.600,129.400,52.370,10.170,
0.080,4.500,1,20,173.000,1919.030,22.500,160.700,69.260,10.000,
0.080,4.500,2,20,187.000,1760.080,24.400,175.300,63.100,11.390,
0.080,4.500,3,20,124.000,1931.230,22.500,111.400,54.100,10.210,
0.080,4.500,4,20,139.000,2035.200,22.500,130.200,47.820,10.230,
0.080,4.500,5,20,150.000,1835.090,22.500,139.100,72.960,9.780,
0.080,4.500,6,20,186.000,1941.750,22.500,176.600,69.880,11.120,
0.080,4.500,7,20,159.000,1654.850,22.500,148.800,55.920,9.370,
0.080,4.500,8,20,208.000,1480.540,22.500,198.600,60.230,9.130,
0.080,4.500,9,20,133.000,1774.270,22.500,123.900,65.150,9.700,
0.080,5.000,0,20,158.000,1732.260,25.100,146.300,56.610,9.830,
0.080,5.000,1,20,184.000,1919.030,25.100,174.400,84.350,10.490,
0.080,5.000,2,20,202.000,1760.080,26.700,190.700,68.100,11.830,
0.080,5.000,3,20,128.000,1931.230,25.000,115.200,57.600,10.240,
0.080,5.000,4,20,143.000,2035.200,25.000,135.000,52.440,10.340,
0.080,5.000,5,20,163.000,1835.090,25.000,152.600,78.170,10.120,
0.080,5.000,6,20,199.000,1941.750,25.000,189.800,75.590,11.620,
0.080,5.000,7,20,177.000,1654.850,25.000,166.400,59.260,9.980,
0.080,5.000,8,20,223.000,1480.540,25.200,213.800,68.850,9.360,
0.080,5.000,9,20,160.000,1774.270,25.100,149.400,73.890,10.100,
0.080,5.500,0,20,168.000,1732.260,27.600,156.200,58.430,10.390,
0.080,5.500,1,20,195.000,1919.030,27.900,185.900,90.720,19.910,
0.080,5.500,2,20,251.000,1760.080,29.900,240.000,74.490,22.990,
0.080,5.500,3,20,142.000,1931.230,27.500,131.900,69.430,19.970,
0.080,5.500,4,20,152.000,2035.200,27.500,143.100,64.850,20.620,
0.080,5.500,5,20,170.000,1835.090,28.000,158.400,83.170,20.200,
0.080,5.500,6,20,244.000,1941.750,27.500,234.700,80.030,23.210,
0.080,5.500,7,20,185.000,1654.850,27.500,174.700,61.630,20.050,
0.080,5.500,8,20,232.000,1480.540,27.800,222.200,71.720,19.760,
0.080,5.500,9,20,164.000,1774.270,29.300,153.800,74.690,21.370,
0.080,6.000,0,20,172.000,1732.260,30.100,160.700,60.850,22.070,
0.080,6.000,1,20,228.000,1919.030,30.500,216.200,108.260,22.330,
0.080,6.000,2,20,251.000,1760.080,31.700,240.000,73.610,24.340,
0.080,6.000,3,20,145.000,1931.230,30.000,134.200,70.860,22.110,
0.080,6.000,4,20,154.000,2035.200,30.000,145.800,71.230,22.240,
0.080,6.000,5,20,176.000,1835.090,30.600,164.600,89.110,21.350,
0.080,6.000,6,20,249.000,1941.750,30.000,240.000,82.380,23.410,
0.080,6.000,7,20,193.000,1654.850,30.000,182.200,67.730,20.890,
0.080,6.000,8,20,241.000,1480.540,30.300,231.300,75.500,20.290,
0.080,6.000,9,20,170.000,1774.270,30.000,159.900,78.270,20.770,
0.080,6.500,0,20,176.000,1732.260,32.500,164.200,65.910,20.410,
0.080,6.500,1,20,246.000,1919.030,33.200,234.200,113.910,11.770,
0.080,6.500,2,20,251.000,1760.080,34.100,240.000,81.750,14.190,
0.080,6.500,3,20,147.000,1931.230,32.800,136.600,73.650,11.560,
0.080,6.500,4,20,157.000,2035.200,32.500,148.900,75.930,11.330,
0.080,6.500,5,20,196.000,1835.090,33.100,185.200,95.340,10.970,
0.080,6.500,6,20,249.000,1941.750,32.600,240.000,89.200,13.830,
0.080,6.500,7,20,204.000,1654.850,32.500,193.800,75.550,10.410,
0.080,6.500,8,20,250.000,1480.540,32.700,240.000,91.800,10.340,
0.080,6.500,9,20,176.000,1774.270,32.500,165.500,87.420,11.930,
0.080,7.000,0,20,179.000,1732.260,35.000,167.800,67.700,12.120,
0.080,7.000,1,20,251.000,1919.030,37.100,240.000,124.590,21.010,
0.080,7.000,2,20,252.000,1760.080,35.000,240.000,85.470,23.200,
0.080,7.000,3,20,150.000,1931.230,36.900,139.100,76.720,20.990,
0.080,7.000,4,20,190.000,2035.200,35.000,178.000,86.150,21.140,
0.080,7.000,5,20,199.000,1835.090,35.700,189.000,98.830,20.440,
