I_U,T_INT,seed,nodes_completed,sim_duration_s,fleet_distance_m,conv_time_min_s,conv_time_max_s,conv_time_mean_s,wall_time_s,error
0.080,3.000,0,20,116.000,1732.260,16.300,104.900,42.390,9.080,
0.080,3.000,1,20,116.000,1919.030,15.400,105.900,50.230,9.740,
0.080,3.000,2,20,148.000,1760.080,15.500,136.500,50.860,10.790,
0.080,3.000,3,20,111.000,1931.230,15.000,98.700,52.930,9.720,
0.080,3.000,4,20,119.000,2035.200,15.600,110.200,45.140,9.720,
0.080,3.000,5,20,109.000,1835.090,18.400,98.500,54.510,9.300,
0.080,3.000,6,20,145.000,1941.750,15.000,135.400,56.270,10.540,
0.080,3.000,7,20,119.000,1654.850,19.800,109.900,46.790,9.520,
0.080,3.000,8,20,109.000,1480.540,16.000,98.700,46.750,8.680,
0.080,3.000,9,20,103.000,1774.270,18.600,92.300,47.760,9.320,
0.080,3.500,0,20,127.000,1732.260,18.200,115.400,47.000,9.320,
0.080,3.500,1,20,148.000,1919.030,20.200,135.100,62.450,9.390,
0.080,3.500,2,20,161.000,1760.080,17.700,149.200,56.130,10.600,
0.080,3.500,3,20,116.000,1931.230,17.500,103.400,57.930,9.690,
0.080,3.500,4,20,125.000,2035.200,17.700,117.000,48.160,9.880,
0.080,3.500,5,20,125.000,1835.090,20.100,114.900,62.330,9.160,
0.080,3.500,6,20,156.000,1941.750,17.500,146.400,62.570,10.590,
0.080,3.500,7,20,138.000,1654.850,21.700,127.100,55.770,9.250,
0.080,3.500,8,20,117.000,1480.540,23.100,106.200,53.330,8.730,
0.080,3.500,9,20,113.000,1774.270,19.500,102.400,54.290,9.350,
0.080,4.000,0,20,134.000,1732.260,20.900,122.200,55.910,9.380,
0.080,4.000,1,20,156.000,1919.030,22.100,144.000,75.370,9.540,
0.080,4.000,2,20,171.000,1760.080,22.900,159.800,62.200,10.590,
0.080,4.000,3,20,121.000,1931.230,20.000,108.300,62.840,9.860,
0.080,4.000,4,20,132.000,2035.200,20.100,123.100,51.210,9.770,
0.080,4.000,5,20,142.000,1835.090,20.000,131.300,71.350,9.280,
0.080,4.000,6,20,175.000,1941.750,20.400,165.600,68.170,10.440,
0.080,4.000,7,20,150.000,1654.850,21.500,139.400,58.890,9.140,
0.080,4.000,8,20,191.000,1480.540,24.800,181.400,63.850,8.900,
0.080,4.000,9,20,127.000,1774.270,20.000,117.300,61.650,9.340,
0.080,4.500,0,20,141.000,1732.260,22.600,129.400,61.220,9.270,
0.080,4.500,1,20,187.000,1919.030,23.900,176.000,82.100,9.910,
0.080,4.500,2,20,187.000,1760.080,24.400,175.300,66.880,10.930,
0.080,4.500,3,20,124.000,1931.230,22.600,111.400,67.420,9.580,
0.080,4.500,4,20,139.000,2035.200,22.500,130.200,62.170,9.500,
0.080,4.500,5,20,150.000,1835.090,22.700,139.100,79.630,9.230,
0.080,4.500,6,20,186.000,1941.750,22.900,176.600,74.170,10.710,
0.080,4.500,7,20,159.000,1654.850,22.500,148.800,66.010,9.360,
0.080,4.500,8,20,208.000,1480.540,26.800,198.600,70.610,8.580,
0.080,4.500,9,20,133.000,1774.270,22.500,123.900,68.270,9.550,
0.080,5.000,0,20,158.000,1732.260,25.100,146.300,65.720,9.540,
0.080,5.000,1,20,209.000,1919.030,25.700,197.500,98.260,10.180,
0.080,5.000,2,20,202.000,1760.080,28.600,190.700,74.400,11.260,
0.080,5.000,3,20,164.000,1931.230,25.100,155.800,80.750,9.870,
0.080,5.000,4,20,143.000,2035.200,25.300,135.000,73.000,10.070,
0.080,5.000,5,20,163.000,1835.090,25.200,152.600,86.160,9.340,
0.080,5.000,6,20,199.000,1941.750,25.000,189.800,83.870,10.790,
0.080,5.000,7,20,177.000,1654.850,25.000,166.400,70.620,9.610,
0.080,5.000,8,20,227.000,1480.540,25.600,216.500,85.680,9.200,
0.080,5.000,9,20,160.000,1774.270,28.700,149.400,80.780,9.610,
0.080,5.500,0,20,168.000,1732.260,27.600,156.200,69.860,9.610,
0.080,5.500,1,20,220.000,1919.030,27.900,208.600,102.750,9.700,
0.080,5.500,2,20,251.000,1760.080,29.900,240.000,79.800,11.100,
0.080,5.500,3,20,172.000,1931.230,28.800,163.500,87.080,9.450,
0.080,5.500,4,20,163.000,2035.200,27.500,152.100,82.690,9.800,
0.080,5.500,5,20,170.000,1835.090,28.100,158.400,92.890,9.260,
0.080,5.500,6,20,244.000,1941.750,27.500,234.700,91.400,10.690,
0.080,5.500,7,20,185.000,1654.850,27.500,174.700,79.510,9.170,
0.080,5.500,8,20,232.000,1480.540,27.800,222.200,94.390,8.890,
0.080,5.500,9,20,164.000,1774.270,30.800,153.800,85.270,8.850,
0.080,6.000,0,20,172.000,1732.260,30.100,160.700,72.430,9.000,
0.080,6.000,1,20,228.000,1919.030,30.500,216.200,111.620,9.880,
0.080,6.000,2,20,251.000,1760.080,31.700,240.000,85.630,10.970,
0.080,6.000,3,20,180.000,1931.230,31.500,171.800,93.300,9.800,
0.080,6.000,4,20,171.000,2035.200,30.300,160.600,90.750,10.060,
0.080,6.000,5,20,176.000,1835.090,40.100,164.600,99.910,9.550,
0.080,6.000,6,20,249.000,1941.750,30.000,240.000,94.880,10.590,
0.080,6.000,7,20,193.000,1654.850,30.000,182.200,85.770,9.440,
0.080,6.000,8,20,250.000,1480.540,30.300,240.000,99.350,8.740,
0.080,6.000,9,20,170.000,1774.270,33.500,159.900,95.010,9.460,
0.080,6.500,0,20,176.000,1732.260,32.500,164.200,77.060,9.370,
0.080,6.500,1,20,246.000,1919.030,34.500,234.200,121.700,9.970,
0.080,6.500,2,20,251.000,1760.080,34.100,240.000,98.630,10.960,
0.080,6.500,3,20,187.000,1931.230,35.400,178.100,99.050,9.780,
0.080,6.500,4,20,188.000,2035.200,32.600,175.300,97.880,9.940,
0.080,6.500,5,20,196.000,1835.090,35.100,185.200,108.800,9.520,
0.080,6.500,6,20,249.000,1941.750,32.800,240.000,99.500,10.790,
0.080,6.500,7,20,204.000,1654.850,32.500,193.800,99.660,9.060,
0.080,6.500,8,20,250.000,1480.540,32.700,240.000,102.710,8.830,
0.080,6.500,9,20,176.000,1774.270,32.500,165.500,104.100,9.290,
0.080,7.000,0,20,179.000,1732.260,35.000,167.800,81.260,9.500,
0.080,7.000,1,20,251.000,1919.030,37.100,240.000,128.370,9.980,
0.080,7.000,2,20,252.000,1760.080,38.900,240.000,102.120,10.930,
0.080,7.000,3,20,223.000,1931.230,37.000,209.800,112.020,9.570,
